Word   ,Date       ,Contest number ,Number of  reported results ,Number in hard mode ,1 try ,2 tries ,3 tries ,4 tries ,5 tries ,6 tries ,7 or more tries (X)
manly  ,2022/12/31,560,20380,1899,0,2,17,37,29,12,2
molar  ,2022/12/30,559,21204,1973,0,4,21,38,26,9,1
havoc  ,2022/12/29,558,20001,1919,0,2,16,38,30,12,2
impel  ,2022/12/28,557,20160,1937,0,3,21,40,25,9,1
condo  ,2022/12/27,556,20879,2012,0,2,17,35,29,14,3
judge  ,2022/12/26,555,20011,2043,0,2,8,16,26,33,14
extra  ,2022/12/25,554,15554,1562,1,5,20,35,28,10,1
poise  ,2022/12/24,553,20281,1911,2,11,34,32,15,6,1
aorta  ,2022/12/23,552,21937,2112,0,7,26,35,20,10,3
excel  ,2022/12/22,551,20490,2034,0,1,13,34,34,15,2
lunar  ,2022/12/21,550,22180,2036,0,5,32,40,17,4,0
third  ,2022/12/20,549,24137,2261,1,10,47,32,9,2,0
slate  ,2022/12/19,548,26010,2422,6,14,33,27,13,5,1
taper  ,2022/12/18,547,22166,2108,0,8,28,30,20,11,3
chord  ,2022/12/17,546,22336,2088,0,7,39,38,13,3,0
rprobe ,2022/12/16,545,22853,2160,0,6,24,32,24,11,3
rival  ,2022/12/15,544,22176,2127,0,7,27,35,22,8,1
usual  ,2022/12/14,543,20824,2048,0,3,20,39,27,10,1
spoke  ,2022/12/13,542,24101,2224,0,6,31,38,19,5,0
apply  ,2022/12/12,541,22873,2150,0,5,28,38,22,7,1
naïve  ,2022/12/11,540,21947,2075,1,7,24,32,24,11,1
knock  ,2022/12/10,539,21157,2041,0,3,18,43,27,8,1
braid  ,2022/12/9,538,23640,2165,0,10,36,35,14,3,0
infer  ,2022/12/8,537,21199,1863,0,3,19,33,26,14,3
joust  ,2022/12/7,536,24899,2388,0,6,29,34,21,8,2
amber  ,2022/12/6,535,23509,2261,0,6,22,33,24,12,3
woken  ,2022/12/5,534,23153,2200,0,2,10,25,36,23,4
adore  ,2022/12/4,533,25577,2398,2,17,32,29,15,5,1
torso  ,2022/12/3,532,23873,2260,0,4,35,36,17,6,1
chafe  ,2022/12/2,531,24646,2343,0,6,30,33,19,9,2
eject  ,2022/12/1,530,22628,2200,0,2,11,35,36,14,2
study  ,2022/11/30,529,2569,2405,0,6,30,33,19,10,2
undue  ,2022/11/29,528,23739,2316,0,3,19,35,29,13,2
tepid  ,2022/11/28,527,26051,2484,0,10,38,35,13,3,0
happy  ,2022/11/27,526,25206,2356,0,6,28,39,19,6,1
clen   ,2022/11/26,525,26381,2424,1,17,36,31,12,3,0
itchy  ,2022/11/25,524,24197,2329,0,8,28,40,18,5,1
feast  ,2022/11/24,523,27705,2725,5,13,25,27,19,10,2
drive  ,2022/11/23,522,26663,2451,1,12,32,30,18,6,1
prime  ,2022/11/22,521,27437,2534,1,10,26,32,21,9,1
axiom  ,2022/11/21,520,24288,2382,0,5,19,33,27,13,3
brave  ,2022/11/20,519,24991,2396,1,6,17,27,27,18,5
avert  ,2022/11/19,518,24749,2400,0,7,26,35,22,9,1
glyph  ,2022/11/18,517,29208,2899,0,2,23,49,20,5,1
there  ,2022/11/17,516,27465,2530,0,14,35,33,14,4,0
baker  ,2022/11/16,515,25576,2541,0,5,16,23,24,22,10
snarl  ,2022/11/15,514,27475,2650,0,5,21,31,24,15,4
maple  ,2022/11/14,513,26536,2467,1,6,26,36,21,8,1
inane  ,2022/11/13,512,25085,2515,0,8,25,30,21,13,3
valet  ,2022/11/12,511,24660,2356,0,4,22,38,25,9,1
medal  ,2022/11/11,510,25993,2438,0,5,25,38,23,8,1
unite  ,2022/11/10,509,27467,2575,1,11,31,33,18,5,1
rainy  ,2022/11/9,508,28984,2678,1,16,38,31,11,3,1
spell  ,2022/11/8,507,27213,2531,0,4,24,37,24,9,1
begin  ,2022/11/7,506,26096,2439,0,6,26,36,23,7,1
stale  ,2022/11/6,505,31068,3013,2,19,30,27,15,6,2
dream  ,2022/11/5,504,29743,2751,5,14,31,29,15,4,1
photo  ,2022/11/4,503,27330,2565,0,5,34,43,15,3,0
aloud  ,2022/11/3,502,29554,2819,1,18,31,30,15,4,1
inept  ,2022/11/2,501,27670,2640,0,6,30,39,20,6,1
piney  ,2022/11/1,500,27502,3667,0,1,14,37,33,14,2
aptly  ,2022/10/31,499,26498,2572,0,3,26,41,23,7,1
waltz  ,2022/10/30,498,24672,2496,0,2,11,29,35,19,3
libel  ,2022/10/29,497,25156,2536,0,3,15,32,32,16,2
sneak  ,2022/10/28,496,27905,2636,0,7,28,36,21,7,1
carry  ,2022/10/27,495,27609,2615,0,4,22,35,24,12,3
flout  ,2022/10/26,494,30063,2904,0,6,28,37,21,7,1
foggy  ,2022/10/25,493,28953,2817,0,2,13,35,32,15,3
fault  ,2022/10/24,492,28947,2768,0,7,27,35,22,8,1
mummy  ,2022/10/23,491,29279,3021,0,1,4,14,27,37,18
spiel  ,2022/10/22,490,29084,2810,0,7,32,36,19,6,1
grove  ,2022/10/21,489,28637,2794,0,4,18,30,28,17,3
denim  ,2022/10/20,488,28741,2769,0,5,29,40,20,5,0
quirk  ,2022/10/19,487,28322,2794,0,3,23,39,24,9,2
exist  ,2022/10/18,486,28612,2805,0,5,24,38,23,8,1
stein  ,2022/10/17,485,31269,2965,1,12,34,32,16,5,1
spade  ,2022/10/16,484,30459,2854,1,8,29,36,19,6,1
catch  ,2022/10/15,483,30403,3123,0,7,18,20,15,16,23
floor  ,2022/10/14,482,28906,2752,0,3,23,44,24,6,0
equal  ,2022/10/13,481,27197,2677,0,5,23,35,25,11,2
ionic  ,2022/10/12,480,29151,2947,0,2,13,25,28,21,11
valid  ,2022/10/11,479,28575,2752,0,4,28,38,21,8,1
enjoy  ,2022/10/10,478,26878,2654,0,3,12,29,33,20,3
howdy  ,2022/10/9,477,28408,2668,0,2,13,32,32,17,4
vigor  ,2022/10/8,476,26905,2642,0,2,15,35,31,14,2
dandy  ,2022/10/7,475,29026,2840,0,2,11,23,29,24,11
sloth  ,2022/10/6,474,32522,2987,1,10,38,34,13,3,0
marxh  ,2022/10/5,473,30935,2885,0,9,30,35,19,6,1
bough  ,2022/10/4,472,32014,3060,0,3,17,35,28,13,3
sting  ,2022/10/3,471,32288,2969,1,10,30,33,18,8,2
twine  ,2022/10/2,470,30088,2775,0,6,28,40,20,5,1
leave  ,2022/10/1,469,28202,2696,0,4,16,34,31,12,1
scorn  ,2022/9/30,468,31223,2859,0,8,31,35,20,6,1
scald  ,2022/9/29,467,30477,2829,0,4,23,36,24,11,2
usurp  ,2022/9/28,466,31355,3007,0,3,21,38,26,9,1
soggy  ,2022/9/27,465,30985,2888,0,2,18,38,28,11,2
brisk  ,2022/9/26,464,31706,2884,0,5,23,38,24,7,1
admit  ,2022/9/25,463,28994,2677,0,10,25,34,22,8,1
grate  ,2022/9/24,462,32777,3077,1,14,29,28,16,8,3
glory  ,2022/9/23,461,31509,2893,0,6,30,39,19,5,0
saint  ,2022/9/22,460,34455,3119,1,14,35,29,15,5,1
recap  ,2022/9/21,459,31976,2900,0,5,30,35,21,8,1
alike  ,2022/9/20,458,31277,2843,0,6,20,33,27,12,2
trice  ,2022/9/19,457,35050,3430,0,5,24,25,18,17,11
stick  ,2022/9/18,456,33102,3038,1,9,36,35,14,4,0
chute  ,2022/9/17,455,33418,3073,0,11,37,36,12,3,0
parer  ,2022/9/16,454,37309,4130,0,0,4,11,15,22,48
doubt  ,2022/9/15,453,33344,3011,1,12,32,34,16,4,0
thyme  ,2022/9/14,452,32142,2938,1,5,24,41,23,5,0
alpha  ,2022/9/13,451,29497,2706,0,3,19,40,28,9,1
booze  ,2022/9/12,450,29147,2883,0,1,7,27,38,23,4
tibia  ,2022/9/11,449,27887,2675,0,1,14,40,30,12,2
lofty  ,2022/9/10,448,29237,2777,0,4,19,34,27,13,3
theme  ,2022/9/9,447,32172,2909,0,8,29,40,18,4,0
class  ,2022/9/8,446,31962,3001,0,4,21,32,22,13,7
leery  ,2022/9/7,445,30992,2873,0,3,17,37,28,12,2
taunt  ,2022/9/6,444,32734,3022,0,4,19,27,21,16,13
whoop  ,2022/9/5,443,32733,2970,0,1,16,47,29,7,1
inter  ,2022/9/4,442,32018,2889,0,6,25,36,23,8,1
gully  ,2022/9/3,441,31191,2877,0,1,9,27,31,25,7
charm  ,2022/9/2,440,35724,3149,1,12,32,34,16,5,1
fungi  ,2022/9/1,439,31903,2928,0,2,18,41,28,9,1
prize  ,2022/8/31,438,35343,3166,0,5,12,20,32,26,5
onset  ,2022/8/30,437,33660,3009,0,4,29,40,21,6,1
chief  ,2022/8/29,436,34281,3072,1,6,32,38,18,5,0
gauze  ,2022/8/28,435,30214,2866,0,2,11,24,31,25,8
ruder  ,2022/8/27,434,31241,2784,0,2,16,33,29,16,4
irony  ,2022/8/26,433,34716,3046,0,6,29,34,21,8,1
clown  ,2022/8/25,432,36737,3175,1,8,29,36,20,6,1
needy  ,2022/8/24,431,33700,2927,0,2,21,41,26,9,1
woven  ,2022/8/23,430,33549,2933,0,2,13,32,32,17,3
merit  ,2022/8/22,429,35888,3123,0,7,33,37,17,5,0
waste  ,2022/8/21,428,35617,3186,1,7,19,27,24,17,5
treat  ,2022/8/20,427,38245,3249,1,22,32,26,14,5,1
shrug  ,2022/8/19,426,33965,2987,0,4,23,36,26,10,1
twang  ,2022/8/18,425,34938,3172,0,3,22,43,25,7,1
twice  ,2022/8/17,424,35815,3173,1,6,28,38,21,6,1
gruel  ,2022/8/16,423,35105,3087,0,3,19,39,29,9,1
poker  ,2022/8/15,422,35376,3180,0,4,17,30,27,17,5
khaki  ,2022/8/14,421,31652,2968,0,2,17,33,28,16,4
hunky  ,2022/8/13,420,35276,3185,0,1,11,33,25,22,7
label  ,2022/8/12,419,34198,3076,0,4,18,32,29,15,2
glean  ,2022/8/11,418,37301,3243,0,6,23,37,24,8,1
cling  ,2022/8/10,417,37654,3312,0,4,20,34,27,13,2
patty  ,2022/8/9,416,36223,3019,0,2,16,39,29,12,1
unfit  ,2022/8/8,415,35516,3187,0,3,24,38,25,9,1
smear  ,2022/8/7,414,36223,3190,0,2,16,39,29,12,2
alien  ,2022/8/6,413,38841,3395,3,17,31,29,15,4,0
buggy  ,2022/8/5,412,37350,3428,0,1,9,29,34,22,5
rhyme  ,2022/8/4,411,37229,3336,0,4,22,39,25,8,1
youth  ,2022/8/3,410,38381,3327,1,5,17,31,29,15,3
coyly  ,2022/8/2,409,34909,3380,0,0,4,17,28,35,15
quart  ,2022/8/1,408,36662,3303,0,5,20,33,27,13,2
cramp  ,2022/7/31,407,39250,3369,1,8,26,33,19,10,2
bluff  ,2022/7/30,406,37353,3171,0,2,14,42,31,10,1
upset  ,2022/7/29,405,37791,3213,0,5,30,38,20,6,1
stomp  ,2022/7/28,404,40650,3490,0,7,26,32,21,11,2
motto  ,2022/7/27,403,38384,3285,0,1,11,36,36,14,1
cinch  ,2022/7/26,402,39171,3507,0,2,15,24,22,25,13
elope  ,2022/7/25,401,39228,3339,0,4,22,32,26,13,2
power  ,2022/7/24,400,39813,3401,2,6,19,29,24,15,4
midge  ,2022/7/23,399,36769,3111,0,2,18,39,28,10,2
tryst  ,2022/7/22,398,43099,3665,0,3,26,41,23,6,1
aphid  ,2022/7/21,397,39086,3367,0,6,24,36,23,9,2
trite  ,2022/7/20,396,42237,3685,0,4,14,22,22,23,15
angry  ,2022/7/19,395,39667,3358,0,5,27,38,21,7,1
flock  ,2022/7/18,394,42574,3548,0,4,22,37,27,9,1
wacky  ,2022/7/17,393,39611,3345,0,3,18,39,27,10,2
roomy  ,2022/7/16,392,38769,3280,0,2,17,41,28,10,2
wedge  ,2022/7/15,391,39234,3353,0,2,11,32,37,17,2
liver  ,2022/7/14,390,40549,3388,0,4,16,26,25,20,8
bland  ,2022/7/13,389,46246,3727,0,7,31,38,18,4,0
night  ,2022/7/12,388,46910,3870,1,8,27,27,17,13,7
madam  ,2022/7/11,387,40545,3430,0,3,13,35,34,14,2
berth  ,2022/7/10,386,41785,3494,0,7,24,35,24,9,1
stead  ,2022/7/9,385,47094,3933,1,6,20,27,28,16,3
voice  ,2022/7/8,384,42806,3484,1,5,24,35,25,9,1
agape  ,2022/7/7,383,43407,3671,0,2,18,36,27,15,3
fluff  ,2022/7/6,382,47344,4049,0,0,4,25,44,23,4
field  ,2022/7/5,381,44578,3604,1,6,25,36,23,9,1
sever  ,2022/7/4,380,42645,3591,0,2,13,27,29,21,7
lilac  ,2022/7/3,379,40486,3461,0,2,17,38,29,12,1
egret  ,2022/7/2,378,41765,3515,0,3,14,33,33,15,2
pinto  ,2022/7/1,377,47248,3792,0,5,25,41,22,6,1
hutch  ,2022/6/30,376,44212,3758,0,1,12,28,28,21,9
gawky  ,2022/6/29,375,45645,3957,0,1,5,22,33,28,10
droll  ,2022/6/28,374,47312,3844,0,2,16,31,31,17,3
retro  ,2022/6/27,373,47986,3848,0,6,24,35,24,9,1
rusty  ,2022/6/26,372,50450,3954,0,9,37,34,13,5,1
beady  ,2022/6/25,371,46089,3670,0,3,19,39,29,10,1
smite  ,2022/6/24,370,50617,3991,0,6,23,35,24,11,2
brink  ,2022/6/23,369,53111,4118,0,4,22,41,24,7,1
awful  ,2022/6/22,368,47645,3861,0,5,21,33,27,12,2
gloat  ,2022/6/21,367,53342,4194,0,8,21,31,26,12,2
input  ,2022/6/20,366,50484,3950,0,5,30,38,21,6,1
loser  ,2022/6/19,365,55359,4399,1,10,28,32,19,8,2
cacao  ,2022/6/18,364,47205,4101,0,1,9,27,36,23,4
blown  ,2022/6/17,363,54665,4251,0,6,23,35,26,10,1
apron  ,2022/6/16,362,53430,4112,0,7,30,38,19,5,1
primo  ,2022/6/15,361,55989,4391,0,3,22,38,25,10,2
atone  ,2022/6/14,360,59968,4762,2,16,34,29,14,4,1
donor  ,2022/6/13,359,53802,4142,0,3,27,38,23,7,1
float  ,2022/6/12,358,56684,4323,1,12,30,32,18,6,1
goose  ,2022/6/11,357,51958,4087,0,2,12,28,32,21,5
piety  ,2022/6/10,356,55376,4324,0,4,25,41,22,7,1
girth  ,2022/6/9,355,60020,4665,0,6,23,33,23,12,3
trait  ,2022/6/8,354,61026,4607,0,6,22,35,24,11,2
flood  ,2022/6/7,353,58991,4440,0,3,20,40,28,8,1
gloom  ,2022/6/6,352,58478,4548,0,2,14,35,35,13,1
depth  ,2022/6/5,351,56738,4329,0,6,28,39,20,6,1
froth  ,2022/6/4,350,58263,4432,0,5,22,35,25,11,1
peach  ,2022/6/3,349,65431,4957,1,13,38,32,13,3,0
showy  ,2022/6/2,348,61278,4770,0,2,16,37,30,13,2
creak  ,2022/6/1,347,63241,4797,0,5,21,32,25,14,3
manor  ,2022/5/31,346,62768,4802,0,6,27,34,21,10,2
atoll  ,2022/5/30,345,60969,4741,0,6,28,36,21,8,1
bayou  ,2022/5/29,344,56839,4435,0,6,17,33,29,13,2
crept  ,2022/5/28,343,60069,4562,0,4,27,38,22,7,1
tiara  ,2022/5/27,342,63846,4842,0,8,36,33,17,6,1
asset  ,2022/5/26,341,63188,4733,0,7,28,34,21,8,1
vouch  ,2022/5/25,340,62723,4835,0,2,9,25,33,24,6
album  ,2022/5/24,339,63380,4809,0,5,26,35,24,9,1
hinge  ,2022/5/23,338,66431,4906,0,5,25,37,22,9,2
money  ,2022/5/22,337,67909,4928,1,7,26,36,21,8,1
scrap  ,2022/5/21,336,66814,4973,1,9,28,34,20,8,1
gamer  ,2022/5/20,335,69884,5238,1,4,17,28,26,18,6
glass  ,2022/5/19,334,70920,5162,0,4,19,33,27,14,3
scour  ,2022/5/18,333,73933,5544,0,8,34,35,17,5,1
being  ,2022/5/17,332,70722,5142,0,4,22,37,26,10,1
delve  ,2022/5/16,331,68349,5179,0,2,14,32,33,16,2
yield  ,2022/5/15,330,67115,4963,0,4,16,29,29,18,4
metal  ,2022/5/14,329,73225,5290,1,10,31,34,18,7,1
tipsy  ,2022/5/13,328,77585,5522,0,6,33,38,17,5,1
slung  ,2022/5/12,327,75673,5419,0,2,16,37,31,13,2
farce  ,2022/5/11,326,79446,5688,0,9,26,32,21,9,1
gecko  ,2022/5/10,325,74412,5489,0,2,16,38,29,12,2
shine  ,2022/5/9,324,88932,6146,1,14,32,30,17,6,1
canny  ,2022/5/8,323,72518,5256,0,2,10,30,34,20,4
midst  ,2022/5/7,322,74458,5233,0,3,25,39,24,9,1
badge  ,2022/5/6,321,76292,5482,0,4,20,35,26,12,2
homer  ,2022/5/5,320,85979,6313,0,3,16,26,24,19,12
train  ,2022/5/4,319,107750,7243,6,26,32,22,10,3,0
hairy  ,2022/5/3,318,85817,5941,1,8,24,33,23,10,1
story  ,2022/5/2,317,95643,6530,1,10,23,29,24,11,2
forgo  ,2022/5/1,316,77658,5699,0,1,9,26,37,23,3
larva  ,2022/4/30,315,77991,5749,0,2,10,25,35,23,4
tash   ,2022/4/29,314,106652,7001,2,19,34,27,13,4,1
zesty  ,2022/4/28,313,88974,6315,0,2,12,27,30,22,7
shown  ,2022/4/27,312,98967,6564,0,6,26,36,22,8,1
heist  ,2022/4/26,311,103153,6830,1,13,32,31,16,6,1
askew  ,2022/4/25,310,91548,6549,0,3,13,29,32,19,4
inert  ,2022/4/24,309,97452,6743,0,7,27,34,22,9,1
olive  ,2022/4/23,308,95562,6482,1,6,25,34,23,10,1
plant  ,2022/4/22,307,119232,7731,2,19,39,28,10,3,0
oxide  ,2022/4/21,306,97955,6960,0,2,11,30,33,21,4
cargo  ,2022/4/20,305,102007,6796,0,5,20,34,27,12,2
foyer  ,2022/4/19,304,108899,8198,0,2,10,19,19,23,26
flair  ,2022/4/18,303,112383,7341,1,8,30,36,18,6,1
ample  ,2022/4/17,302,106681,7008,0,4,20,35,27,11,2
cheek  ,2022/4/16,301,107987,7035,0,3,19,40,28,9,1
shame  ,2022/4/15,300,129991,8522,1,11,22,25,21,15,5
mince  ,2022/4/14,299,113448,7356,0,6,24,35,24,10,1
chunk  ,2022/4/13,298,123255,7835,1,4,29,42,18,5,1
royal  ,2022/4/12,297,114907,7275,1,5,24,36,23,9,1
squad  ,2022/4/11,296,109828,7236,0,3,20,33,27,14,2
black  ,2022/4/10,295,126241,7894,1,10,31,34,18,6,1
stair  ,2022/4/9,294,134210,8537,2,21,36,26,11,4,1
scare  ,2022/4/8,293,141158,9010,1,12,23,26,21,13,4
foray  ,2022/4/7,292,117761,7575,0,2,14,31,31,19,4
comma  ,2022/4/6,291,117856,7560,0,2,13,33,33,17,3
natal  ,2022/4/5,290,121356,7702,0,2,14,32,32,17,3
shawl  ,2022/4/4,289,129651,7943,0,3,16,31,30,16,3
fewer  ,2022/4/3,288,124532,7931,0,2,10,24,32,26,6
trope  ,2022/4/2,287,155079,9315,1,16,33,28,15,6,1
snout  ,2022/4/1,286,144648,8913,1,4,19,27,26,18,5
lowly  ,2022/3/31,285,135219,8469,0,2,9,26,32,24,8
stove  ,2022/3/30,284,158139,9318,0,5,16,24,27,21,6
shall  ,2022/3/29,283,149070,8494,0,3,17,30,28,17,4
found  ,2022/3/28,282,173696,10613,1,6,17,22,20,21,14
nymph  ,2022/3/27,281,165468,9935,1,2,18,44,26,26,9
epoxy  ,2022/3/26,280,149507,9376,0,2,13,31,33,18,3
depot  ,2022/3/25,279,150197,8562,0,5,29,36,20,7,1
chest  ,2022/3/24,278,169066,9318,1,14,35,31,14,5,1
purge  ,2022/3/23,277,156785,8555,1,4,22,35,26,11,2
slosh  ,2022/3/22,276,160161,8807,0,2,19,36,27,13,2
their  ,2022/3/21,275,173636,9200,2,14,36,30,13,4,0
renew  ,2022/3/20,274,154987,8417,0,4,20,33,27,13,2
allow  ,2022/3/19,273,156311,8515,0,5,21,32,26,14,3
saute  ,2022/3/18,272,179830,9304,1,8,31,34,19,6,1
movie  ,2022/3/17,271,169071,8847,1,5,18,30,26,16,3
cater  ,2022/3/16,270,217856,11234,1,7,19,22,19,18,15
tease  ,2022/3/15,269,202855,10024,1,16,32,30,16,6,1
smelt  ,2022/3/14,268,185406,9373,0,5,19,33,28,13,2
focus  ,2022/3/13,267,179436,8937,1,4,23,36,24,10,1
today  ,2022/3/12,266,192049,9353,1,7,29,35,20,7,1
watch  ,2022/3/11,265,226349,12400,1,6,14,18,17,24,20
lapse  ,2022/3/10,264,208884,9960,0,8,31,34,19,7,1
month  ,2022/3/9,263,201799,9435,1,5,26,37,22,8,1
sweet  ,2022/3/8,262,207473,9767,1,5,18,31,28,15,2
hoard  ,2022/3/7,261,218595,9823,1,9,30,34,19,7,1
cloth  ,2022/3/6,260,218595,9911,1,8,33,34,17,7,1
brine  ,2022/3/5,259,229895,10405,1,9,25,29,22,12,3
ahead  ,2022/3/4,258,203730,9396,1,5,20,35,26,12,2
mourn  ,2022/3/3,257,240018,10465,1,8,29,34,19,8,1
nasty  ,2022/3/2,256,257304,10813,1,7,26,31,21,11,2
rupee  ,2022/3/1,255,240137,10577,1,2,17,35,30,13,2
choke  ,2022/2/28,254,251094,10521,1,8,30,36,18,6,1
chant  ,2022/2/27,253,250413,10438,1,9,33,33,16,7,1
spill  ,2022/2/26,252,248363,10087,1,5,26,34,22,10,2
vivid  ,2022/2/25,251,255907,11687,1,2,10,29,33,21,4
bloke  ,2022/2/24,250,250674,10405,1,6,21,32,25,12,2
trove  ,2022/2/23,249,277576,11411,1,5,16,24,25,22,8
thorn  ,2022/2/22,248,306356,11814,1,14,38,30,12,4,0
other  ,2022/2/21,247,278731,10887,1,9,26,30,21,10,2
tacit  ,2022/2/20,246,273306,11094,1,4,21,32,26,14,3
swill  ,2022/2/19,245,282327,11241,1,1,8,19,31,30,10
dodge  ,2022/2/18,244,265238,10220,1,3,15,29,27,19,7
shake  ,2022/2/17,243,342003,12767,1,6,16,23,24,21,9
caulk  ,2022/2/16,242,289721,10740,1,4,20,31,26,15,3
aroma  ,2022/2/15,241,287836,10343,1,6,25,33,22,11,2
cynic  ,2022/2/14,240,261521,10343,1,6,25,33,22,11,2
robin  ,2022/2/13,239,277471,3249,1,6,29,34,21,8,1
ultra  ,2022/2/12,238,269885,9310,1,7,23,34,24,10,1
ulcer  ,2022/2/11,237,278826,10631,1,4,18,30,28,16,3
pause  ,2022/2/10,236,304830,13480,1,8,26,32,21,10,2
humor  ,2022/2/9,235,305372,13846,1,5,22,34,25,11,2
frame  ,2022/2/8,234,336236,15369,1,10,20,24,24,17,3
elder  ,2022/2/7,233,288228,13340,1,3,13,24,30,24,5
skill  ,2022/2/6,232,311018,13716,1,3,17,33,27,16,3
aloft  ,2022/2/5,231,319698,13708,1,4,22,36,25,11,2
pleat  ,2022/2/4,230,359679,14813,1,10,28,31,19,9,2
shard  ,2022/2/3,229,358176,14609,1,7,22,28,25,14,4
moist  ,2022/2/2,228,361908,14205,3,13,32,29,16,7,1
those  ,2022/2/1,227,351663,13606,1,13,34,30,15,6,1
light  ,2022/1/31,226,341314,13347,1,10,25,27,19,12,5
wrung  ,2022/1/30,225,294687,11524,0,2,18,39,27,12,2
could  ,2022/1/29,224,313220,11592,1,7,29,35,20,8,1
perky  ,2022/1/28,223,296968,11148,1,4,17,30,27,17,4
mount  ,2022/1/27,222,331844,11451,1,9,29,33,19,7,1
